strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Euphoria,sativa,4.3,Euphoric,Happy,Energetic,Creative,Relaxed,Earthy,Skunk,Sweet,
Haze-Heaven,hybrid,4.5,Happy,Talkative,Uplifted,Energetic,Creative,Pungent,Spicy/Herbal,Sweet,
Euphoria-Cookies,hybrid,5,Euphoric,Creative,Uplifted,Happy,Relaxed,Sweet,Citrus,Tropical,
Everlast,indica,4.6,Relaxed,Sleepy,Happy,Tingly,Euphoric,Earthy,Skunk,Flowery,
Haze-Mist,sativa,4,Energetic,Focused,Happy,Hungry,,None,,,
Ewok,hybrid,4.6,Relaxed,Happy,Euphoric,Creative,Uplifted,Earthy,Woody,Pungent,
Haze-Wreck,sativa,4.6,Uplifted,Happy,Euphoric,Talkative,Creative,Citrus,Pine,Woody,
Exodus-Cheese,hybrid,4.3,Uplifted,Relaxed,Euphoric,Happy,Focused,Cheese,Citrus,Blueberry,
Head-Cheese,hybrid,4.6,Euphoric,Happy,Uplifted,Creative,Relaxed,Cheese,Pungent,Earthy,
Head-Trip,hybrid,4.3,Relaxed,Focused,Happy,Uplifted,Euphoric,Earthy,Pine,Coffee,
Headband,hybrid,4.3,Happy,Relaxed,Uplifted,Euphoric,Creative,Earthy,Diesel,Citrus,
Extreme-Cream,indica,4.8,Relaxed,Sleepy,Happy,Uplifted,Euphoric,Butter,Sweet,Earthy,
Chemdawg,hybrid,4.3,Relaxed,Happy,Euphoric,Uplifted,Creative,Diesel,Earthy,Pungent,
Extreme-Og,indica,4.9,Relaxed,Sleepy,Hungry,Happy,Aroused,Lime,Earthy,Pungent,
Face-Off-Og,indica,4.8,Relaxed,Sleepy,Euphoric,Tingly,Happy,Pungent,Sweet,Earthy,
Fallen-Angel,indica,5,Hungry,Relaxed,Sleepy,Uplifted,Euphoric,Earthy,Sage,Sweet,
Chemdawg-4,hybrid,4.4,Relaxed,Euphoric,Happy,Hungry,Uplifted,Pine,Diesel,Lemon,
False-Teeth,hybrid,5,Uplifted,Relaxed,Creative,Happy,Tingly,Earthy,Diesel,Grape,
Chemdawg-4-X-Alien-Og-Kush,hybrid,4.5,Relaxed,Energetic,Happy,Euphoric,Creative,Nutty,Mint,Flowery,
Fast-Eddy,hybrid,4.2,Sleepy,Happy,Relaxed,Creative,Euphoric,Citrus,Pungent,Skunk,
Chemdawg-91,hybrid,4.5,Euphoric,Uplifted,Relaxed,Happy,Tingly,Earthy,Diesel,Pungent,
Fat-Axl,hybrid,4.3,Talkative,Uplifted,Creative,Happy,Energetic,Diesel,Earthy,Skunk,
Chemdawg-Sour-Diesel,hybrid,4.5,Uplifted,Happy,Euphoric,Relaxed,Energetic,Diesel,Pine,Pungent,
Fat-Nelson,hybrid,4.6,Euphoric,Happy,Uplifted,Creative,Energetic,Citrus,Pungent,Sage,
Chemmy-Jones,hybrid,4.7,Happy,Relaxed,Euphoric,Creative,Uplifted,Earthy,Flowery,Pine,
Fat-Purple,indica,4.7,Aroused,Euphoric,Relaxed,Giggly,Happy,Berry,Grape,Sweet,
Chemnesia,hybrid,4.8,Uplifted,Euphoric,Relaxed,Happy,Energetic,Diesel,Sweet,Citrus,
Faygo-Red-Pop,indica,4.8,Relaxed,Happy,Creative,Euphoric,Giggly,Strawberry,Spicy/Herbal,Sage,
Fighting-Buddha,sativa,5,None,,,,,None,,,
Fire-Alien-Kush,hybrid,4.5,Uplifted,Happy,Euphoric,Aroused,Giggly,Earthy,Woody,Spicy/Herbal,
Fire-Alien-Strawberry,hybrid,4,Talkative,Happy,Hungry,Relaxed,Energetic,Spicy/Herbal,Strawberry,Earthy,
Fire-Haze,sativa,4.2,Euphoric,Focused,Happy,Relaxed,Uplifted,Sweet,Berry,Earthy,
Chemo,indica,4.4,Relaxed,Euphoric,Sleepy,Happy,Hungry,Earthy,Woody,Pine,
Cookies-And-Dream,hybrid,4.5,Uplifted,Relaxed,Happy,Euphoric,Giggly,Sweet,Berry,Citrus,
Cookies-Kush,indica,4.5,Relaxed,Happy,Euphoric,Hungry,Sleepy,Sweet,Earthy,Pungent,
Copper-Kush,indica,3.9,Relaxed,Euphoric,Happy,Uplifted,Tingly,Earthy,Pungent,Woody,
Chems-Sister,sativa,4.5,Creative,Euphoric,Happy,Focused,Relaxed,Chemical,Pungent,Citrus,
Fire-Og,hybrid,4.4,Relaxed,Happy,Euphoric,Uplifted,Energetic,Earthy,Citrus,Lemon,
Chemwreck,hybrid,4.6,Uplifted,Talkative,Happy,Relaxed,Energetic,Diesel,Chemical,Pungent,
Firewalker-Og,sativa,4.3,Uplifted,Happy,Relaxed,Euphoric,Creative,Pine,Woody,Citrus,
Chernobyl,hybrid,4.4,Happy,Euphoric,Relaxed,Energetic,Uplifted,Citrus,Lime,Lemon,
Cherries-Jubilee,indica,4.4,Euphoric,Uplifted,Relaxed,Happy,Creative,Berry,Woody,Sage,
Cherry-Ak-47,hybrid,4.4,Relaxed,Happy,Euphoric,Uplifted,Focused,Sweet,Berry,Earthy,
Cherry-Bomb,hybrid,4.3,Focused,Talkative,Happy,Uplifted,Relaxed,Berry,Pungent,Skunk,
Cherry-Cookies,hybrid,4.6,Happy,Uplifted,Euphoric,Relaxed,Focused,Sweet,Berry,Pungent,
Cherry-Cream-Pie,hybrid,4.3,Relaxed,Euphoric,Creative,Energetic,Uplifted,Sweet,Chemical,Pungent,
Cherry-Diesel,hybrid,4.7,Relaxed,Euphoric,Energetic,Happy,Uplifted,Berry,Sweet,Citrus,
Headbanger,hybrid,4.4,Happy,Uplifted,Euphoric,Relaxed,Hungry,Citrus,Skunk,Sweet,
First-48,hybrid,4,Uplifted,Focused,Hungry,Relaxed,,None,,,
Corleone-Kush,indica,4.6,Relaxed,Euphoric,Happy,Hungry,Sleepy,Earthy,Spicy/Herbal,Flowery,
Avi-Dekel,hybrid,4.5,Relaxed,Uplifted,Happy,Focused,Energetic,Earthy,Flowery,Sweet,
100-Og,hybrid,4,Creative,Energetic,Tingly,Euphoric,Relaxed,Earthy,Sweet,Citrus,
Cherry-Durban-Poison,hybrid,4.3,Uplifted,Giggly,Sleepy,Aroused,Euphoric,Flowery,Citrus,Sweet,
Cornbread,indica,4.6,Relaxed,Euphoric,Hungry,Happy,Sleepy,Lemon,Citrus,Woody,
Cosmic-Collision,sativa,4.2,Uplifted,Energetic,Talkative,Euphoric,Relaxed,Sweet,Earthy,Minty,
Cotton-Candy-Kush,hybrid,4.3,Relaxed,Happy,Euphoric,Uplifted,Energetic,Sweet,Berry,Flowery,
Cotton-Purple-Chem,hybrid,4.4,Relaxed,Uplifted,Euphoric,Happy,Tingly,Sweet,Earthy,Berry,
Cowboy-Kush,hybrid,4.8,Happy,Uplifted,Euphoric,Relaxed,Creative,Earthy,Pine,Diesel,
Cracker-Jack,sativa,4.2,Energetic,Creative,Focused,Happy,Euphoric,Sweet,Woody,Citrus,
Crater-Lake,hybrid,4.6,Happy,Uplifted,Talkative,Relaxed,Creative,Citrus,Pine,Pungent,
Crazy-Miss-Hyde,hybrid,4.9,Uplifted,Happy,Euphoric,Relaxed,Creative,Sweet,Vanilla,Butter,
Cream-Caramel,indica,4.2,Relaxed,Happy,Sleepy,Tingly,Focused,Butter,Sweet,Honey,
Crimea-Blue,hybrid,4.3,Happy,Uplifted,Euphoric,Sleepy,Creative,Berry,Tea,Blueberry,
Critical-47,hybrid,4.3,Relaxed,Sleepy,Happy,Giggly,Talkative,Honey,Skunk,Sweet,
Critical-Bilbo,hybrid,4.4,Relaxed,Happy,Hungry,Sleepy,Euphoric,Tobacco,Sweet,Earthy,
Critical-Cheese,hybrid,4.2,Euphoric,Focused,Happy,Relaxed,Energetic,Cheese,Earthy,Pungent,
Critical-Haze,hybrid,4.3,Relaxed,Happy,Uplifted,Hungry,Giggly,Citrus,Earthy,Pine,
Critical-Hog,indica,4.2,Relaxed,Happy,Uplifted,Euphoric,Sleepy,Earthy,Woody,Flowery,
Critical-Jack,hybrid,4.4,Energetic,Creative,Happy,Focused,Uplifted,Pine,Citrus,Woody,
Critical-Kali-Mist,sativa,4.6,Creative,Focused,Uplifted,Happy,Euphoric,Pine,Sweet,Earthy,
Critical-Kush,indica,4.5,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Earthy,Pungent,Sweet,
Critical-Mass,indica,4.3,Relaxed,Happy,Sleepy,Euphoric,Hungry,Earthy,Pungent,Sweet,
Critical-Plus,hybrid,4.2,Relaxed,Happy,Hungry,Sleepy,Creative,Woody,Spicy/Herbal,Pungent,
Critical-Plus-20,indica,4.2,Happy,Relaxed,Uplifted,Euphoric,Aroused,Lemon,Earthy,Pine,
Critical-Sensi-Star,indica,4.2,Relaxed,Sleepy,Happy,Uplifted,Euphoric,Citrus,Sweet,Lemon,
Critical-Skunk,hybrid,4.5,Happy,Relaxed,Creative,Hungry,Aroused,Earthy,Skunk,,
Critical-Widow,hybrid,4.3,Relaxed,Euphoric,Uplifted,Focused,Sleepy,Citrus,Pungent,Sweet,
Critters-Cookies,hybrid,3.5,Uplifted,Tingly,Relaxed,Euphoric,Aroused,Lemon,Earthy,Pungent,
Cronuts,hybrid,4.7,None,,,,,None,,,
Crosswalker,indica,4.4,Relaxed,Happy,Euphoric,Uplifted,Creative,Sweet,Blueberry,Pine,
Crouching-Tiger-Hidden-Alien,indica,4.8,Relaxed,Happy,Euphoric,Tingly,Uplifted,Pine,Spicy/Herbal,Earthy,
Crown-Og,indica,4.7,Relaxed,Happy,Sleepy,Uplifted,Euphoric,Diesel,Earthy,Pepper,
Blue-Heron,hybrid,4.7,Relaxed,Sleepy,Talkative,Happy,Uplifted,Woody,Spicy/Herbal,Pine,
Crown-Royale,indica,4.7,Relaxed,Happy,Euphoric,Sleepy,Aroused,Sweet,Flowery,Berry,
Blue-Ivy,hybrid,4.4,Relaxed,Focused,Hungry,Happy,Talkative,Earthy,Pepper,Blueberry,
Blue-Jay-Way,hybrid,4.5,Relaxed,Uplifted,Focused,Sleepy,Euphoric,Sweet,Citrus,Blueberry,
Blue-Kiss,hybrid,4.7,Relaxed,Talkative,Creative,Euphoric,Focused,Sweet,Berry,Blueberry,
Blue-Knight,indica,4.7,Relaxed,Uplifted,Hungry,Happy,Focused,Berry,Blueberry,Sweet,
Blue-Kripple,indica,3.4,Sleepy,Euphoric,Hungry,Relaxed,Tingly,Earthy,Grape,,
Blue-Kush,hybrid,4.5,Relaxed,Uplifted,Euphoric,Creative,Hungry,Blueberry,Pine,Lemon,
Ayahuasca-Purple,indica,4.4,Relaxed,Euphoric,Sleepy,Happy,Tingly,Spicy/Herbal,Pungent,Earthy,
Az-Super-Sour-Og,hybrid,4.9,Uplifted,Happy,Giggly,Energetic,Relaxed,Pungent,Sage,Woody,
Azure-Haze,hybrid,4.4,Relaxed,Uplifted,Focused,Euphoric,Happy,Berry,Sweet,Blueberry,
B-52,indica,4.1,Relaxed,Happy,Giggly,Focused,Uplifted,Sweet,Woody,Earthy,
B-Witched,hybrid,5,Euphoric,Relaxed,Happy,Hungry,Sleepy,Earthy,Sweet,Citrus,
Crunch-Berry-Kush,hybrid,4.4,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Sweet,Berry,Honey,
Crypt,hybrid,4.4,Relaxed,Euphoric,Focused,Happy,Uplifted,Sweet,Cheese,Pungent,
Crystal-Coma,sativa,4.6,Happy,Uplifted,Euphoric,Focused,Creative,Flowery,Earthy,Citrus,
Crystal-Gayle,hybrid,4.4,Focused,Creative,Euphoric,Happy,Hungry,Diesel,Earthy,Skunk,
Blue-Mystic,indica,4.2,Happy,Relaxed,Giggly,Energetic,Sleepy,Blueberry,Earthy,Sweet,
Blue-Nightmare,hybrid,4.7,Euphoric,Relaxed,Happy,Giggly,Creative,Berry,Earthy,Blueberry,
Blue-Nina,hybrid,4.5,Happy,Talkative,Giggly,Tingly,Euphoric,Blueberry,Flowery,,
B4,hybrid,4.5,Happy,Uplifted,Euphoric,Focused,Relaxed,Spicy/Herbal,Berry,Skunk,
Bad-Azz-Kush,hybrid,5,None,,,,,,,,
Bakerstreet,indica,3.7,Euphoric,Relaxed,Giggly,Happy,Sleepy,Earthy,Diesel,Sweet,
Balmoral,hybrid,4.2,Relaxed,Happy,Uplifted,Focused,Talkative,Earthy,Cheese,Pine,
Banana-Candy,indica,4.2,Relaxed,Euphoric,Uplifted,Creative,Happy,Tree,Fruit,Earthy,Sweet
Banana-Cream-Og,hybrid,4.8,Relaxed,Creative,Tingly,Uplifted,Focused,Minty,Mint,Pine,
Banana-Diesel,hybrid,4.4,Happy,Uplifted,Euphoric,Relaxed,Giggly,Diesel,Earthy,Skunk,
Crystalberry,indica,4.5,Aroused,Relaxed,Uplifted,Giggly,Happy,Berry,Blueberry,Grape,
Cuvee,indica,4.5,Euphoric,Happy,Relaxed,Giggly,Tingly,Earthy,Grape,Berry,
Dairy-Queen,hybrid,4.4,Happy,Relaxed,Euphoric,Uplifted,Creative,Cheese,Sweet,Earthy,
Blue-Lights,indica,4.5,Relaxed,Euphoric,Happy,Tingly,Uplifted,Blueberry,Earthy,Berry,
Blue-Magic,sativa,4.6,Relaxed,Focused,Aroused,Sleepy,Euphoric,Citrus,Lemon,Tropical,
Blue-Magoo,hybrid,4.5,Relaxed,Happy,Uplifted,Euphoric,Giggly,Earthy,Sweet,Pungent,
Blue-Monster,indica,4.7,Relaxed,Hungry,Talkative,Sleepy,Happy,Berry,Sweet,Diesel,
Blue-Moon-Rocks,hybrid,4.6,Relaxed,Happy,Uplifted,Euphoric,Focused,Berry,Strawberry,Lavender,
Blue-Moonshine,indica,4.2,Happy,Relaxed,Euphoric,Sleepy,Focused,Earthy,Berry,Woody,
Blue-Mountain-Fire,sativa,4,Euphoric,Relaxed,Tingly,Uplifted,Happy,Flowery,Earthy,Tar,
Banana-Kush,hybrid,4.3,Happy,Relaxed,Euphoric,Uplifted,Talkative,Sweet,Tropical,Tree,Fruit
Banana-Og,hybrid,4.4,Relaxed,Happy,Hungry,Euphoric,Sleepy,Tropical,Earthy,Sweet,
Dakini-Kush,indica,4.5,Relaxed,Sleepy,Happy,Euphoric,Giggly,Earthy,Coffee,Spicy/Herbal,
Blue-Og,hybrid,4.3,Relaxed,Happy,Euphoric,Hungry,Uplifted,Blueberry,Berry,Earthy,
Blue-Ox,indica,4.5,Sleepy,Relaxed,Hungry,Talkative,Uplifted,Berry,Flowery,Blueberry,
Blue-Persuasion,hybrid,4.1,Relaxed,Tingly,Euphoric,Happy,Hungry,Sweet,Blueberry,Berry,
Blue-Power,indica,4.7,Relaxed,Tingly,Happy,Uplifted,Euphoric,Berry,Earthy,Sweet,
Blue-Rhino,hybrid,4.3,Sleepy,Relaxed,Focused,Uplifted,Hungry,Blueberry,Sweet,Berry,
Blue-Satellite,sativa,3.9,Uplifted,Happy,Euphoric,Talkative,Relaxed,Sweet,Blueberry,Citrus,
Blue-Sky,hybrid,4.6,Happy,Relaxed,Uplifted,Euphoric,Creative,Earthy,Sweet,Pine,
Blue-Steel,indica,4.3,Uplifted,Relaxed,Euphoric,Happy,Creative,Blueberry,Pungent,Earthy,
Blue-Thai,hybrid,3.7,Relaxed,Happy,Talkative,Uplifted,Focused,Earthy,Pungent,Woody,
Blue-Train,hybrid,4.4,Happy,Uplifted,Energetic,Focused,Relaxed,Blueberry,Berry,Sweet,
Blue-Trane,hybrid,0,None,,,,,None,,,
Blue-Treat,hybrid,4.9,Relaxed,Focused,Happy,Uplifted,Creative,Earthy,Berry,Blueberry,
Blue-Velvet,hybrid,4.3,Happy,Relaxed,Euphoric,Uplifted,Focused,Sweet,Earthy,Diesel,
Blue-Venom,hybrid,4.7,Relaxed,Euphoric,Happy,Uplifted,Hungry,Pine,Blueberry,Berry,
Blue-Widow,hybrid,4.2,Relaxed,Happy,Uplifted,Euphoric,Sleepy,Sweet,Berry,Earthy,
Blue-Wonder,hybrid,5,Uplifted,Happy,Euphoric,Focused,Relaxed,Blueberry,,,
Blue-Wreck,hybrid,4.7,Sleepy,Happy,Euphoric,Relaxed,Uplifted,Blueberry,Earthy,Honey,
Blue-Zkittlez,indica,4.9,Aroused,Creative,Happy,Relaxed,Euphoric,Berry,Sweet,Flowery,
Blue-Zombie,indica,4.7,Relaxed,Euphoric,Hungry,Sleepy,Happy,Pungent,Earthy,Pepper,
Blueberry,indica,4.3,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Blueberry,Berry,Sweet,
Damn-Sour,sativa,4,Hungry,Happy,Tingly,Uplifted,Creative,Sweet,Earthy,Ammonia,
Blueberry-Ak,hybrid,4.9,Energetic,Relaxed,Euphoric,Happy,Sleepy,Blueberry,Sweet,Pungent,
Damnesia,hybrid,4.2,Relaxed,Happy,Euphoric,Uplifted,Energetic,Spicy/Herbal,Pepper,Earthy,
Blueberry-Blast,sativa,4.4,Happy,Uplifted,Euphoric,Energetic,Talkative,Blueberry,Berry,Sweet,
Dance-World,sativa,4.6,Happy,Relaxed,Uplifted,Euphoric,Talkative,Earthy,Citrus,Spicy/Herbal,
Blueberry-Bomb,hybrid,5,Relaxed,,,,,Berry,Citrus,,
Dancehall,hybrid,4.6,Happy,Relaxed,Uplifted,Energetic,Creative,Earthy,Citrus,Flowery,
Blueberry-Cheesecake,hybrid,4.3,Happy,Relaxed,Uplifted,Euphoric,Tingly,Blueberry,Sweet,Cheese,
Dank-Schrader,indica,4.9,Relaxed,Happy,Uplifted,Euphoric,Hungry,Tropical,Pine,Earthy,
Blueberry-Diesel,hybrid,4.2,Uplifted,Happy,Euphoric,Relaxed,Focused,Blueberry,Diesel,Sweet,
Dank-Sinatra,hybrid,5,Happy,Uplifted,Relaxed,Sleepy,Euphoric,Diesel,Berry,Tropical,
Blueberry-Dream,sativa,4.6,Uplifted,Sleepy,Happy,Relaxed,Focused,Sweet,Flowery,Pine,
Dark-Blue-Dream,hybrid,4.6,Happy,Euphoric,Relaxed,Uplifted,Giggly,Sweet,Berry,Blueberry,
Blueberry-Essence,hybrid,4.5,Relaxed,Happy,Uplifted,Euphoric,Sleepy,Blueberry,Sweet,Mango,
Dark-Side-Of-The-Moon,indica,4.6,Relaxed,Sleepy,Euphoric,Happy,Uplifted,Berry,Earthy,Spicy/Herbal,
Blueberry-Haze,hybrid,4.2,Happy,Euphoric,Creative,Uplifted,Energetic,Blueberry,Berry,Sweet,
Dark-Star,indica,4.4,Relaxed,Sleepy,Happy,Hungry,Euphoric,Earthy,Pungent,Skunk,
Darkside-Og,indica,4.6,Sleepy,Relaxed,Euphoric,Hungry,Happy,Lemon,Citrus,Earthy,
Darth-Vader-Og,indica,4.4,Relaxed,Sleepy,Euphoric,Hungry,Tingly,Earthy,Pine,Grape,
Blueberry-Headband,hybrid,4.3,Relaxed,Happy,Uplifted,Talkative,Euphoric,Blueberry,Berry,Earthy,
Blueberry-Jack,hybrid,4.3,Relaxed,Happy,Creative,Giggly,Hungry,Blueberry,Pine,Berry,
Blueberry-Kush,indica,4.3,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Blueberry,Berry,Sweet,
Blueberry-Lambsbread,hybrid,4.8,Relaxed,Happy,Sleepy,Uplifted,Euphoric,Blueberry,Sweet,Earthy,
Dawgfather-Og,hybrid,4.1,Sleepy,Relaxed,,,,Spicy/Herbal,Pepper,Pungent,
Blueberry-Muffins,hybrid,4.7,Relaxed,Euphoric,Uplifted,Happy,Creative,Blueberry,Earthy,Berry,
Flaming-Cookies,indica,4.2,Happy,Relaxed,Euphoric,Tingly,Sleepy,Spicy/Herbal,Sweet,Diesel,
1024,sativa,4.4,Uplifted,Happy,Relaxed,Energetic,Creative,Spicy/Herbal,Sage,Woody,
Heaven-Scent,hybrid,4.8,Creative,Energetic,Euphoric,Focused,Happy,Minty,Sweet,Tropical,
Banana-Peel,hybrid,4.7,Relaxed,Euphoric,Uplifted,Happy,Sleepy,Spicy/Herbal,Tropical,Earthy,
Cherry-Fire,hybrid,0,None,,,,,None,,,
Dawgs-Waltz,hybrid,4.6,Euphoric,Relaxed,Uplifted,Happy,Sleepy,Earthy,Skunk,Sweet,
Blueberry-Og,hybrid,4.6,Happy,Hungry,Giggly,Euphoric,Talkative,Blueberry,Berry,Flowery,
Heavy-Duty-Fruity,hybrid,4.1,Relaxed,Happy,Sleepy,Hungry,Giggly,Sweet,Citrus,Earthy,
Heisenberg-Kush,sativa,4.4,Talkative,Relaxed,Focused,Hungry,Happy,Berry,Sweet,Strawberry,
Hell-Raiser-Og,hybrid,4.8,Relaxed,Euphoric,Uplifted,Talkative,Happy,Pine,Citrus,Spicy/Herbal,
Hellfire-Og,hybrid,4.5,Euphoric,Relaxed,Happy,Energetic,Sleepy,Earthy,Citrus,Diesel,
Hells-Angel-Og,hybrid,4.5,Relaxed,Euphoric,Sleepy,Happy,Hungry,Earthy,Pungent,Woody,
Hindu-Skunk,indica,4.2,Relaxed,Euphoric,Happy,Aroused,Uplifted,Earthy,Woody,Sweet,
Blueberry-Pancakes,hybrid,4.5,Relaxed,Sleepy,Hungry,Happy,Euphoric,Blueberry,Berry,Sweet,
Blueberry-Pie,hybrid,4.4,Relaxed,Happy,Uplifted,Euphoric,Sleepy,Blueberry,Earthy,Berry,
Blueberry-Silvertip,hybrid,4.6,Happy,Uplifted,Giggly,Relaxed,Euphoric,Blueberry,Berry,Flowery,
Cherry-Grapefruit,hybrid,4.3,Creative,Happy,Relaxed,Tingly,Uplifted,Berry,Sweet,Flowery,
Cherry-Kola,indica,4.7,Relaxed,Euphoric,Happy,Giggly,Tingly,Berry,Sweet,Pungent,
Cherry-Kush,hybrid,4.2,Relaxed,Uplifted,Euphoric,Happy,Creative,Sweet,Berry,Earthy,
Cherry-Limeade,hybrid,4.3,Relaxed,Euphoric,Happy,Tingly,Uplifted,Sweet,Lime,Citrus,
Cherry-Og,hybrid,4.2,Euphoric,Relaxed,Happy,Uplifted,Hungry,Berry,Diesel,Sweet,
Cherry-Pie,hybrid,4.4,Happy,Relaxed,Euphoric,Uplifted,Focused,Sweet,Berry,Earthy,
Hemlock,hybrid,4.5,Happy,Uplifted,Relaxed,Giggly,Talkative,Sweet,Citrus,Pine,
Hempstar,sativa,4.3,Happy,Euphoric,Creative,Uplifted,Energetic,Woody,Pungent,Earthy,
Hercules,hybrid,4.8,Happy,Uplifted,Energetic,Giggly,Creative,Earthy,Sweet,Tropical,
Herojuana,indica,4.4,Relaxed,Sleepy,Happy,Hungry,Euphoric,Earthy,Spicy/Herbal,Woody,
Hibiscus-Sunrise,hybrid,4.5,Euphoric,Uplifted,Relaxed,Energetic,Happy,Flowery,Lavender,Sweet,
Higher-Power,sativa,4.8,Creative,Uplifted,Energetic,Focused,Happy,Grape,Flowery,Tree,Fruit
Highwayman,hybrid,3.8,Focused,Happy,Relaxed,Sleepy,Euphoric,Spicy/Herbal,Flowery,Earthy,
Himalayan-Blackberry,indica,4.9,Sleepy,Relaxed,Euphoric,Happy,Uplifted,Earthy,Berry,Pine,
Himalayan-Gold,hybrid,4.2,Happy,Euphoric,Creative,Aroused,Sleepy,Spicy/Herbal,Earthy,Citrus,
Hindu-Kush,indica,4.3,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Woody,Sweet,
Cherry-Pie-Kush,hybrid,4.2,Happy,Relaxed,Euphoric,Giggly,Sleepy,Lavender,Berry,Sweet,
Cherry-Sauce,hybrid,5,Talkative,Tingly,Uplifted,Creative,Energetic,Spicy/Herbal,Sweet,Flowery,
Cherry-Sherbet,hybrid,4.3,Sleepy,Giggly,Aroused,Talkative,Tingly,Berry,Sweet,Diesel,
Cherry-Skunk,hybrid,4.4,Relaxed,Happy,Uplifted,Aroused,Hungry,Earthy,Sweet,Skunk,
Cherry-Slyder,hybrid,4.7,Focused,Uplifted,Happy,Relaxed,,Sweet,Earthy,Pine,
Hippie-Chicken,sativa,4.3,Euphoric,Happy,Uplifted,Relaxed,Talkative,Sweet,Tree,Fruit,Berry
Cherry-Thunder-Fuck,hybrid,4.8,Uplifted,Happy,Energetic,Euphoric,Focused,Berry,Pungent,Earthy,
Cherwillie,hybrid,5,Creative,Energetic,Happy,Relaxed,Focused,Sweet,Strawberry,Citrus,
Chicle,hybrid,5,Aroused,Euphoric,Focused,Happy,Hungry,Ammonia,Diesel,Mint,
Hippie-Crippler,hybrid,4.3,Happy,Uplifted,Relaxed,Euphoric,Energetic,Pungent,Earthy,Sweet,
Chiesel,hybrid,4.4,Happy,Euphoric,Relaxed,Uplifted,Focused,Diesel,Pungent,Cheese,
China-Yunnan,indica,4.3,Uplifted,Happy,Relaxed,Euphoric,Sleepy,Sweet,Earthy,Cheese,
Chiquita-Banana,hybrid,4.9,Happy,Euphoric,Uplifted,Relaxed,Creative,Sweet,Orange,Lemon,
Chloe,hybrid,4.9,Creative,Euphoric,Uplifted,Talkative,Focused,Earthy,Spicy/Herbal,Sweet,
Chocoholic,hybrid,0,None,,,,,None,,,
Chocolate-Chunk,indica,4.2,Relaxed,Sleepy,Happy,Euphoric,Hungry,Sweet,Woody,Earthy,
Chocolate-Diesel,sativa,4.6,Euphoric,Energetic,Happy,Creative,Uplifted,Diesel,Woody,Nutty,
Chocolate-Drop,hybrid,5,Uplifted,Euphoric,Giggly,Happy,Relaxed,Earthy,Vanilla,,
Chocolate-Fondue,sativa,4.6,Uplifted,Relaxed,Happy,Euphoric,Focused,Sweet,Cheese,Earthy,
Day-Tripper,hybrid,4,Uplifted,Euphoric,Happy,Relaxed,Sleepy,Blueberry,Strawberry,Pineapple,
Chocolate-Rain,hybrid,5,Creative,Happy,Talkative,Uplifted,Energetic,Sweet,Vanilla,Coffee,
Deep-Chunk,indica,4.3,Happy,Relaxed,Sleepy,Uplifted,Creative,Plum,Earthy,Ammonia,
Chocolate-Sap,hybrid,4.5,Talkative,Uplifted,Energetic,Happy,Euphoric,Citrus,Skunk,Chemical,
Deep-Purple,indica,3.9,Relaxed,Happy,Euphoric,Sleepy,Tingly,Grape,Earthy,Sweet,
Chocolate-Thai,sativa,4.2,Uplifted,Happy,Energetic,Focused,Creative,Spicy/Herbal,Coffee,Woody,
Deep-Sleep,indica,4.5,Relaxed,Euphoric,Sleepy,Tingly,Happy,Pungent,Earthy,Sweet,
Delahaze,sativa,4.5,Uplifted,Happy,Energetic,Focused,Talkative,Citrus,Mango,Sweet,
Chocolate-Thunder,sativa,4.1,Uplifted,Creative,Happy,Energetic,Focused,Honey,Nutty,Spicy/Herbal,
Chocolate-Tonic,hybrid,0,None,,,,,None,,,
Chocolope,sativa,4.3,Happy,Uplifted,Energetic,Focused,Euphoric,Coffee,Earthy,Sweet,
Chocolope-Kush,hybrid,4,Happy,Creative,Focused,Uplifted,Euphoric,Earthy,Sweet,Vanilla,
Chong-Star,hybrid,4.5,Relaxed,Happy,Uplifted,Creative,Euphoric,Honey,Earthy,Skunk,
Denver-Maple,indica,4.4,Relaxed,Sleepy,Giggly,Tingly,Uplifted,Sweet,Earthy,Pine,
Desert-Star,hybrid,4.8,Hungry,Sleepy,Tingly,Uplifted,Creative,Earthy,,,
Chr-Super-Og,indica,4.3,Relaxed,Giggly,Sleepy,Happy,Talkative,Skunk,Diesel,Sweet,
Destroyer,sativa,4.9,Energetic,Uplifted,Euphoric,Giggly,Happy,Lavender,Ammonia,Sweet,
Chronic,hybrid,4.4,Relaxed,Happy,Giggly,Euphoric,Energetic,Woody,Spicy/Herbal,Sweet,
Chronic-Thunder,indica,4.5,Relaxed,Happy,Euphoric,Sleepy,Tingly,Pungent,Sweet,Diesel,
Devil-Fruit,indica,4.4,Relaxed,Happy,Euphoric,Focused,Hungry,Spicy/Herbal,Pepper,Sweet,
Chuckys-Bride,hybrid,4.6,Giggly,Happy,Energetic,Euphoric,Talkative,Pungent,Lemon,Flowery,
